"sales_year","womens_minus_mens","mens_minus_womens"
2005,28338,-28338
2014,32705,-32705
2006,29965,-29965
2010,30405,-30405
2001,22828,-22828
1994,20553,-20553
2013,33117,-33117
2002,23134,-23134
2016,32351,-32351
1996,18692,-18692
1995,19381,-19381
2012,33522,-33522
2017,32362,-32362
1998,18136,-18136
1999,19882,-19882
2009,28702,-28702
2007,31522,-31522
1992,21636,-21636
2011,32188,-32188
2019,32880,-32880
2018,32965,-32965
1997,17753,-17753
2004,26388,-26388
2000,21940,-21940
2008,30051,-30051
2015,32255,-32255
2003,24316,-24316
1993,22388,-22388
