"sales_year","sales","index_sales"
1992,31815,31815
1993,32350,31815
1994,30585,31815
1995,28696,31815
1996,28238,31815
1997,27822,31815
1998,28332,31815
1999,29549,31815
2000,31447,31815
2001,31453,31815
2002,31246,31815
2003,32565,31815
2004,34954,31815
2005,37075,31815
2006,38809,31815
2007,40294,31815
2008,38402,31815
2009,36055,31815
2010,37690,31815
2011,40048,31815
2012,41794,31815
2013,41787,31815
2014,41575,31815
2015,41065,31815
2016,40845,31815
2017,40660,31815
2018,41173,31815
2019,40861,31815
2020,26526,31815
