"sales_year","sales","pctg_from_index"
1992,31815,0E-20
1993,32350,1.68159673110168159700
1994,30585,-3.86610089580386610100
1995,28696,-9.80355178374980355200
1996,28238,-11.24312431243124312400
1997,27822,-12.55068363979255068400
1998,28332,-10.94766619519094766600
1999,29549,-7.12242652836712242700
2000,31447,-1.15668709728115668700
2001,31453,-1.13782806852113782800
2002,31246,-1.78846456074178846500
2003,32565,2.35737859500235737900
2004,34954,9.86641521294986641500
2005,37075,16.53308187961653308200
2006,38809,21.98334119126198334100
2007,40294,26.6509508093666500
2008,38402,20.70407040704070407000
2009,36055,13.32704699041332704700
2010,37690,18.46613232751846613200
2011,40048,25.8777306302058800
2012,41794,31.3657079993713700
2013,41787,31.3437057991513400
2014,41575,30.6773534496306800
2015,41065,29.0743360050290700
2016,40845,28.3828382838283800
2017,40660,27.8013515637278000
2018,41173,29.4137985227094100
2019,40861,28.4331290271884300
2020,26526,-16.62423385195662423400
